emotion,wav_mean,melspectrogram,mfcc,Spectral_contrast,Tonnetz,contrast,stft,tonnetz,spectral_contrast
angry,0.04519267380237579,0.723258376121521,-7.985821723937988,0.0,0.0,102.6002386277499,(1.6943917216849513e-05+2.6938048449665075e-06j),-0.01899413821416793,102.6002386277499
disgust,0.017393436282873154,0.09329032152891159,-9.38093376159668,0.0,0.0,99.64597675560198,(2.0456442143768072e-05-3.719673031810089e-06j),-0.018729363377723407,99.64597675560198
fear,0.0682801678776741,1.9300713539123535,-8.492988586425781,0.0,0.0,102.47384787407971,(1.0537002708588261e-05-6.353230673994403e-06j),0.010686496311738541,102.47384787407971
happy,0.039848871529102325,0.6283887624740601,-8.83924674987793,0.0,0.0,100.72031980408282,(8.147897574417584e-07+4.192078904452501e-06j),-0.004871275140488601,100.72031980408282
neutral,0.019950155168771744,0.2296977937221527,-9.185983657836914,0.0,0.0,99.0664808181242,(2.7041658540838398e-05+2.4531282178941183e-06j),0.0063307831909689615,99.0664808181242
sad,0.014397743158042431,0.07637973874807358,-9.908854484558105,0.0,0.0,98.5068426297386,(6.286257757892599e-06-1.4162658601435396e-07j),-0.0062077939388296005,98.5068426297386
angry,0.058496080338954926,1.3204030990600586,-8.81633472442627,0.0,0.0,102.96201051586243,(0.00010903891234192997-2.8920196200488135e-05j),0.003310745971036573,102.96201051586243
angry,0.022315267473459244,0.2136196494102478,-9.445887565612793,0.0,0.0,98.70367431362605,(1.1302798156975769e-05-1.255775714525953e-06j),-0.03454784032934682,98.70367431362605
angry,0.027243597432971,0.24777621030807495,-8.876821517944336,0.0,0.0,100.58884299618327,(7.569178706035018e-06+6.685515359095007e-07j),-0.00853718246687662,100.58884299618327
disgust,0.036360640078783035,0.5227749347686768,-8.82932186126709,0.0,0.0,100.54758393134409,(-4.1696261178003624e-05+2.1062525775050744e-05j),5.067759501919044e-05,100.54758393134409
disgust,0.005863478407263756,0.011299841105937958,-10.602153778076172,0.0,0.0,94.9268635898306,(1.1033349437639117e-05-1.2065706869179849e-06j),-0.017163374586401915,94.9268635898306
disgust,0.012338913045823574,0.09410394728183746,-9.9612455368042,0.0,0.0,96.7040082472174,(1.104630428017117e-05+2.5098922833421966e-06j),-0.015968599053224238,96.7040082472174
fear,0.06527502834796906,1.7902621030807495,-9.352964401245117,0.0,0.0,101.38064390055864,(3.099238165304996e-05-1.3612628890768974e-06j),0.013983625257131508,101.38064390055864
fear,0.01926466077566147,0.1779274195432663,-9.794965744018555,0.0,0.0,98.24306340411916,(1.1187403288204223e-05-3.4199658784928033e-06j),-0.009002032502238563,98.24306340411916
fear,0.03491318225860596,0.5195115804672241,-9.18525505065918,0.0,0.0,100.06837674968503,(1.3831061551172752e-05-1.0382661912444746e-06j),-0.009695385407544119,100.06837674968503
happy,0.055932965129613876,1.0859562158584595,-8.774287223815918,0.0,0.0,101.07208862561608,(3.5530210880097e-05-1.0266150638926774e-05j),-0.033441052747276365,101.07208862561608
happy,0.018747705966234207,0.16798247396945953,-9.72497844696045,0.0,0.0,97.9396969980711,(-2.486000994394999e-05+1.1979876944678836e-05j),-0.01552415038129667,97.9396969980711
happy,0.024767493829131126,0.36428576707839966,-9.236604690551758,0.0,0.0,97.62726921338731,(1.6860582263689139e-06+6.674327323707985e-06j),-0.007125471582971793,97.62726921338731
neutral,0.013511160388588905,0.06157824769616127,-9.527528762817383,0.0,0.0,98.47992032693563,(1.1468981028883718e-05-7.492168379030772e-07j),0.015427086362696386,98.47992032693563
sad,0.015281985513865948,0.09510296583175659,-9.56884479522705,0.0,0.0,97.97957309302925,(1.5903431631159037e-05+2.5289526206506707e-07j),-0.0011708092813530468,97.97957309302925
sad,0.011145930737257004,0.042777352035045624,-9.997763633728027,0.0,0.0,97.20671021909497,(1.1170443940500263e-05+1.824791070248466e-06j),0.003681817754080654,97.20671021909497
sad,0.010495929978787899,0.041054412722587585,-9.546333312988281,0.0,0.0,97.08703727893649,(2.6153305952902883e-05+9.94545530375035e-07j),-0.008001143636830783,97.08703727893649
angry,0.03683946654200554,0.5956522226333618,-8.991381645202637,0.0,0.0,100.04405122567967,(1.0122473213414196e-05+3.1111001135286642e-06j),0.016611942393150662,100.04405122567967
disgust,0.014524519443511963,0.06919115781784058,-10.115924835205078,0.0,0.0,98.89209930033488,(-6.443307029257994e-06-2.3651289211557014e-06j),0.011305866186177146,98.89209930033488
fear,0.0492083765566349,0.8809088468551636,-8.430952072143555,0.0,0.0,102.51433561254521,(2.4618768293294124e-05-6.535787633765722e-06j),0.021001071983635367,102.51433561254521
happy,0.04398726299405098,0.7651503086090088,-9.01515007019043,0.0,0.0,100.85484817245857,(-4.39560208178591e-05+5.287718522595242e-06j),-0.007899555430865632,100.85484817245857
neutral,0.03325529396533966,0.424425333738327,-8.50353717803955,0.0,0.0,101.29374677183976,(5.4536153584194835e-06+2.2722238099959213e-06j),0.032043370705667526,101.29374677183976
sad,0.015194108709692955,0.09264098107814789,-9.78276252746582,0.0,0.0,98.27823782072014,(6.986759672145126e-06+4.344041826698231e-06j),0.0187752635253431,98.27823782072014
angry,0.018511613830924034,0.15100795030593872,-8.971027374267578,0.0,0.0,99.15978581704294,(-9.476348168391269e-06+7.609852218593005e-06j),-0.010302123984659245,99.15978581704294
