emotion,wav
angry,"[ 0.01672083  0.00603863 -0.00215421 ...  0.00754028  0.00421519
  0.00694925]"
disgust,"[-0.00069894  0.01290989  0.01057044 ...  0.00305648  0.00238624
  0.00281013]"
fear,"[-0.30263463 -0.24691129 -0.17649403 ... -0.00205301 -0.00228021
 -0.00284077]"
happy,[0.05772104 0.05896825 0.0556751  ... 0.00209666 0.00110872 0.00073542]
neutral,"[-0.00523822 -0.00398716 -0.00391009 ...  0.00295556  0.00261066
  0.00246795]"
sad,[0.00714512 0.00759495 0.00695802 ... 0.00307648 0.00390311 0.00418134]
angry,[0.03048567 0.02486489 0.05939977 ... 0.01014731 0.0056527  0.00259445]
angry,"[-0.00233122  0.00266697  0.00723186 ...  0.00212896  0.00272787
  0.00255721]"
angry,"[-0.06636664 -0.07566126 -0.08400264 ... -0.05181318 -0.03911772
 -0.02664575]"
disgust,"[-0.06420981 -0.09856819 -0.1296778  ... -0.00044029 -0.00118277
 -0.00154703]"
disgust,"[ 0.01847879  0.01730618  0.01337295 ... -0.00235797 -0.00248528
 -0.00246345]"
disgust,"[-0.05664705 -0.06106526 -0.0527213  ...  0.00133453  0.0010046
  0.00077007]"
fear,"[-0.04524202 -0.03694639 -0.03953282 ... -0.00095878 -0.00182385
 -0.0021998 ]"
fear,"[-0.02600984  0.01660489  0.01352766 ...  0.00333691  0.00379452
  0.00356881]"
fear,"[ 0.01849458  0.02842887 -0.00213928 ... -0.00409464 -0.00424609
 -0.00456834]"
happy,[0.08784255 0.09104133 0.10159299 ... 0.00178278 0.00199218 0.00290285]
happy,"[ 0.0299323   0.0214433   0.01333771 ...  0.00038926 -0.00022321
 -0.00039737]"
happy,"[-0.01811028 -0.02834621 -0.0022229  ...  0.00261209  0.00318519
  0.00336376]"
neutral,"[-0.00670613 -0.00796327 -0.00388133 ...  0.00406735  0.00433798
  0.00412337]"
sad,"[ 0.01245857 -0.00616831 -0.00984429 ... -0.01008444 -0.00947362
 -0.00871189]"
sad,"[-0.00956624 -0.01040618 -0.01126086 ... -0.00101295 -0.00133924
 -0.00201722]"
sad,"[ 0.01238144  0.00117027 -0.00444743 ...  0.00355027  0.00285809
  0.00252637]"
angry,"[-6.1659032e-04 -5.5075856e-04  8.8954410e-05 ...  1.3069473e-03
  1.4597633e-03  1.0594688e-03]"
disgust,"[-0.0097539  -0.00932782 -0.00973159 ...  0.00198001  0.0028805
  0.00458101]"
fear,"[-0.0950937  -0.06451376 -0.03843977 ... -0.01339126 -0.01112684
 -0.00943264]"
happy,"[-0.05338481 -0.06080427 -0.06608064 ... -0.00690685 -0.00663815
 -0.00622767]"
neutral,"[-0.0170275  -0.01491037 -0.00652083 ...  0.01415339  0.01278977
  0.01109186]"
sad,[0.02421412 0.02253906 0.02223272 ... 0.00070608 0.00113191 0.00179589]
angry,[0.01211824 0.00657081 0.00426915 ... 0.00589913 0.00524368 0.00402226]
disgust,"[-0.01765495 -0.02518835 -0.0201204  ... -0.00196048 -0.00138452
 -0.00086505]"
fear,"[-0.0512297  -0.02974247 -0.00330907 ...  0.0005911  -0.00012319
 -0.00092658]"
happy,"[-0.04374824 -0.01287596  0.01887873 ... -0.01186471 -0.00712067
 -0.00266542]"
neutral,"[ 0.012662    0.01118151 -0.00192951 ...  0.00221044  0.00168352
  0.001339  ]"
